"ImageName","EnlacmentGlobalValue","EnlacmentLocallValue","Class"
"a",191.441,193.489,"CHASEDB1"
"b",195.311,196.076,"CHASEDB1"
"c",193.846,197.506,"CHASEDB1"
"d",202.771,208.54,"CHASEDB1"
"e",204.006,206.778,"CHASEDB1"
"f",203.995,207.256,"CHASEDB1"
"g",186.928,189.515,"CHASEDB1"
"h",181.791,184.987,"CHASEDB1"
"i",187.451,189.959,"CHASEDB1"
"j",194.081,196.509,"CHASEDB1"
"k",205.762,206.339,"CHASEDB1"
"l",198.446,199.516,"CHASEDB1"
"m",207.249,210.287,"CHASEDB1"
"n",193.598,196.695,"CHASEDB1"
"o",200.795,201.957,"CHASEDB1"
"p",212.847,212.038,"CHASEDB1"
"q",167.69,172.096,"CHASEDB1"
"r",157.991,161.564,"CHASEDB1"
"s",203.873,204.879,"CHASEDB1"
"t",195.046,196.475,"CHASEDB1"
"u",238.652,240.574,"DRIVE"
"v",223.644,224.895,"DRIVE"
"w",197.402,198.352,"DRIVE"
"x",217.616,218.792,"DRIVE"
"y",220.64,222.054,"DRIVE"
"z",237.733,239.54,"DRIVE"
"za",212.903,213.946,"DRIVE"
"zb",236.95,236.997,"DRIVE"
"zc",231.511,232.174,"DRIVE"
"zd",228.488,228.777,"DRIVE"
"ze",197.863,197.97,"DRIVE"
"zf",222.261,223.695,"DRIVE"
"zg",221.075,221.805,"DRIVE"
"zh",149.229,150.749,"DRIVE"
"zi",224.285,225.579,"DRIVE"
"zj",237.333,238.284,"DRIVE"
"zk",235.781,235.873,"DRIVE"
"zl",216.17,217.185,"DRIVE"
"zm",233.433,234.311,"DRIVE"
"zn",242.014,241.626,"DRIVE"
